ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.02,0.007,0.07,0.01,0.016,0.045,0.03,0.022,0.078,0.018,0.025,0.061
H1N1_42,,0.038,0.078,0.024,0.059,0.012,0.012,0.01,0.015,0.012,0.009,0.016
H1N1v,,,0.067,0.057,0.074,0.056,0.032,0.022,0.087,0.047,0.053,0.077
H1N2,,,,0.032,0.07,0.015,0.011,0.013,0.02,0.015,0.008,0.022
H1s,,,,,0.099,0.027,0.017,0.016,0.041,0.039,0.017,0.024
H2Nx,,,,,,0.028,0.032,0.026,0.055,0.023,0.034,0.048
H3N2,,,,,,,0.053,0.063,0.032,0.012,0.018,0.037
H3Nx,,,,,,,,0.07,0.032,0.014,0.016,0.035
H5Nx,,,,,,,,,0.039,0.035,0.063,0.068
H5Nx_51,,,,,,,,,,0.022,0.012,0.029
H7,,,,,,,,,,,0.028,0.048
H9,,,,,,,,,,,,0.039
